Source,Album,Rank
Magnet Magazine: Top 25 Albums of 2020,Drive-By Truckers — The Unraveling,6
Magnet Magazine: Top 25 Albums of 2020,Drive-By Truckers — The New OK,6
Magnet Magazine: Top 25 Albums of 2020,Thao & the Get Down Stay Down — Temple,7
Magnet Magazine: Top 25 Albums of 2020,The Flaming Lips — American Head,8
Magnet Magazine: Top 25 Albums of 2020,Lydia Loveless — Daughter,9
Magnet Magazine: Top 25 Albums of 2020,The Beths — Jump Rope Gazers,10
Magnet Magazine: Top 25 Albums of 2020,Old 97’s — Twelfth,11
Magnet Magazine: Top 25 Albums of 2020,Actress — Karma & Desire,12
Magnet Magazine: Top 25 Albums of 2020,Kathleen Edwards — Total Freedom,13
Magnet Magazine: Top 25 Albums of 2020,The Microphones — Microphones in 2020,14
Magnet Magazine: Top 25 Albums of 2020,Sault — Untitled (Black Is),15
Magnet Magazine: Top 25 Albums of 2020,Sault — Untitled (Rise),15
Magnet Magazine: Top 25 Albums of 2020,Nada Surf — Never Not Together,16
Magnet Magazine: Top 25 Albums of 2020,Colorama — Chaos Wonderland,17
Magnet Magazine: Top 25 Albums of 2020,Courtney Marie Andrews — Old Flowers,18
Magnet Magazine: Top 25 Albums of 2020,Fontaines D.C. — A Hero's Death,19
Magnet Magazine: Top 25 Albums of 2020,Cut Worms — Nobody Lives Here Anymore,20
Magnet Magazine: Top 25 Albums of 2020,Jehnny Beth — To Love Is to Live,21
Magnet Magazine: Top 25 Albums of 2020,The Mountain Goats — Songs for Pierre Chuvin,22
Magnet Magazine: Top 25 Albums of 2020,The Mountain Goats — Getting Into Knives,22
Magnet Magazine: Top 25 Albums of 2020,Bill Callahan — Gold Record,23
Magnet Magazine: Top 25 Albums of 2020,The Lees Of Memory — Moon Shot,24
Magnet Magazine: Top 25 Albums of 2020,Rolling Blackouts Coastal Fever — Sideways to New Italy,25
